id,relid,year,active_year,code_status,type_of_violence,conflict_dset_id,conflict_new_id,conflict_name,dyad_dset_id,dyad_new_id,dyad_name,side_a_dset_id,side_a_new_id,side_a,side_b_dset_id,side_b_new_id,side_b,number_of_sources,source_article,source_office,source_date,source_headline,source_original,where_prec,where_coordinates,where_description,adm_1,adm_2,latitude,longitude,geom_wkt,priogrid_gid,country,country_id,region,event_clarity,date_prec,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,best_est,high_est,low_est
51736,,1991,True,Clear,1,218,218,Government of India-Government of Pakistan,422,422,Government of India - Government of Pakistan,141,141,Government of India,142,142,Government of Pakistan,-1,R 15/1 1991,,,,Military statement,1,Athmuqam town,Athmuqam,Azad Jammu & Kashmir,Neelam District,34.571730,73.897240,POINT (73.897240 34.571730),179788,Pakistan,770,Asia,1,1,01/15/1991 00:00:00,01/15/1991 00:00:00,0,0,2,0,2,2,2,
51770,,1999,True,Clear,1,218,218,Government of India-Government of Pakistan,422,422,Government of India - Government of Pakistan,141,141,Government of India,142,142,Government of Pakistan,-1,"Singh, Amarinder.  ""A Ridge Too Far:  War in the Kargil Heights 1999"".",,,,,2,Handang Brok village,Khumb (between Khumb and Pt 5620),Jammu and Kashmir State,Kargil district,34.683056,76.645000,POINT (76.645000 34.683056),179794,India,750,Asia,1,1,06/01/1999 00:00:00,06/01/1999 00:00:00,0,3,0,0,3,3,3,
51771,,1999,True,Clear,1,218,218,Government of India-Government of Pakistan,422,422,Government of India - Government of Pakistan,141,141,Government of India,142,142,Government of Pakistan,-1,"Singh, Amarinder.  ""A Ridge Too Far:  War in the Kargil Heights 1999"".",,,,,1,Tiger Hill,Tiger Hill Top,Jammu and Kashmir State,Kargil district,34.484389,75.658389,POINT (75.658389 34.484389),179072,India,750,Asia,1,1,07/03/1999 00:00:00,07/03/1999 00:00:00,1,2,0,0,3,3,3,
51775,,2003,True,Clear,1,218,218,Government of India-Government of Pakistan,422,422,Government of India - Government of Pakistan,141,141,Government of India,142,142,Government of Pakistan,2,"""Reuters News,2003-02-03,Pakistan says Indian firing kills two, hurts six."";""Associated Press Newswires,2003-02-03,Two killed, six wounded in shooting between Pakistani, Indian troops in Kashmir""",Reuters News;Associated Press Newswires,2003-02-03;2003-02-03,"Pakistan says Indian firing kills two, hurts six.;Two killed, six wounded in shooting between Pakistani, Indian troops in Kashmir",,2,Chiri Kot village,"Chiri Kot mountain region, Poonch district, some 200 km northeast of Islamabad, Pakistan-ruled Kashmir",Jammu and Kashmir State,Poonch district,33.831266,74.046931,POINT (74.046931 33.831266),178349,India,750,Asia,1,1,02/03/2003 00:00:00,02/03/2003 00:00:00,0,0,0,2,2,2,2,
51776,,2003,True,Clear,1,218,218,Government of India-Government of Pakistan,422,422,Government of India - Government of Pakistan,141,141,Government of India,142,142,Government of Pakistan,1,"""Agence France Presse,2003-05-25,Woman killed in Indian shelling in Pakistani Kashmir.""",Agence France Presse,2003-05-25,Woman killed in Indian shelling in Pakistani Kashmir.,Police,1,Saidpura village,"Saidpura village, Leepa valley, Pakistani Kashmir",Azad Jammu & Kashmir,Hattian Bala District,34.307952,73.859871,POINT (73.859871 34.307952),179068,Pakistan,770,Asia,1,1,05/25/2003 00:00:00,05/25/2003 00:00:00,0,0,1,0,1,1,1,
51777,,2003,True,Clear,1,218,218,Government of India-Government of Pakistan,422,422,Government of India - Government of Pakistan,141,141,Government of India,142,142,Government of Pakistan,1,"""Associated Press Newswires,2003-09-14,Two Pakistani civilians killed, five injured in Kashmir shelling""",Associated Press Newswires,2003-09-14,"Two Pakistani civilians killed, five injured in Kashmir shelling",,2,Leepa town,"Leepa sector, about 100 kilometers (60 miles) northeast of Muzaffarabad, Pakistan",Azad Jammu & Kashmir,Hattian Bala District,34.303400,73.887800,POINT (73.887800 34.303400),179068,Pakistan,770,Asia,1,1,09/13/2003 00:00:00,09/13/2003 00:00:00,0,0,0,1,1,1,1,
52043,,2012,False,Clear,1,218,218,Government of India-Government of Pakistan,422,422,Government of India - Government of Pakistan,141,141,Government of India,142,142,Government of Pakistan,-1,"BBC M SA 28/1 2012 ""Indian troops kill suspected Pakistani spy trying to enter Kashmir",,,,Daily Excelsior (Indian newspaper),1,Pargawal village,Pargwal,Jammu and Kashmir State,Jammu District,32.787211,74.573455,POINT (74.573455 32.787211),176910,India,750,Asia,1,1,01/27/2012 00:00:00,01/27/2012 00:00:00,0,1,0,0,1,1,1,
52167,,2003,True,Clear,1,218,218,Government of India-Government of Pakistan,422,422,Government of India - Government of Pakistan,141,141,Government of India,142,142,Government of Pakistan,2,"""Agence France Presse,2003-05-27,Militants kill four in Kashmir, one dead in cross-border firing."";""BBC Monitoring South Asia,2003-05-27,Three civilians reported killed in Pakistani shelling on Kashmir border.""",Agence France Presse;BBC Monitoring South Asia,2003-05-27;2003-05-27,"Militants kill four in Kashmir, one dead in cross-border firing.;Three civilians reported killed in Pakistani shelling on Kashmir border.",,2,Kalsian village,"Kalsian area, Nowshera sector of the southern Rajouri district, India",Jammu and Kashmir State,Rajouri district,33.079214,74.079845,POINT (74.079845 33.079214),177629,India,750,Asia,1,1,05/27/2003 00:00:00,05/27/2003 00:00:00,0,0,1,0,1,1,1,
52169,,2003,True,Clear,1,218,218,Government of India-Government of Pakistan,422,422,Government of India - Government of Pakistan,141,141,Government of India,142,142,Government of Pakistan,1,"""Associated Press Newswires,2003-09-14,Two Pakistani civilians killed, five injured in Kashmir shelling""",Associated Press Newswires,2003-09-14,"Two Pakistani civilians killed, five injured in Kashmir shelling",,1,Tatrinote village,Tenrinot village,Azad Jammu & Kashmir,Poonch District,33.753964,74.002794,POINT (74.002794 33.753964),178349,Pakistan,770,Asia,1,1,09/14/2003 00:00:00,09/14/2003 00:00:00,0,0,0,1,1,1,1,
52170,,2003,True,Clear,1,218,218,Government of India-Government of Pakistan,422,422,Government of India - Government of Pakistan,141,141,Government of India,142,142,Government of Pakistan,1,"""Associated Press Newswires,2003-09-21,Pakistani, Indian troops trade fire in Kashmir; four civilians killed""",Associated Press Newswires,2003-09-21,"Pakistani, Indian troops trade fire in Kashmir; four civilians killed",,1,Tatrinote village,Tetrinot village,Azad Jammu & Kashmir,Poonch District,33.753964,74.002794,POINT (74.002794 33.753964),178349,Pakistan,770,Asia,1,1,09/21/2003 00:00:00,09/21/2003 00:00:00,0,0,0,1,1,1,1,
